protein1 protein2 experimental database textmining combined_score
224308.BSU00190 224308.BSU25280 230 0 0 229
224308.BSU00190 224308.BSU20370 303 0 200 418
224308.BSU00190 224308.BSU15750 253 0 0 252
224308.BSU00190 224308.BSU26580 214 0 0 214
224308.BSU00190 224308.BSU25560 880 900 563 994
224308.BSU00190 224308.BSU10330 232 0 0 231
224308.BSU00190 224308.BSU00200 0 0 232 231
224308.BSU00190 224308.BSU37030 214 0 0 214
224308.BSU00190 224308.BSU24020 214 0 0 214
224308.BSU00190 224308.BSU22400 0 0 297 297
224308.BSU00190 224308.BSU40900 490 0 0 489
224308.BSU00200 224308.BSU00190 0 0 232 231
224308.BSU00210 224308.BSU22590 197 0 0 197
224308.BSU00210 224308.BSU35400 197 0 0 197
224308.BSU00210 224308.BSU16940 0 0 218 218
224308.BSU00210 224308.BSU35360 197 0 0 197
224308.BSU00210 224308.BSU27740 0 0 228 227
224308.BSU00210 224308.BSU27480 0 0 231 230
224308.BSU00210 224308.BSU27730 0 0 230 229
224308.BSU00210 224308.BSU00380 232 0 0 231
224308.BSU00210 224308.BSU25280 847 0 816 970
224308.BSU00210 224308.BSU00040 0 0 212 212
224308.BSU00210 224308.BSU35150 197 0 0 197
224308.BSU00220 224308.BSU14630 185 0 0 185
224308.BSU00220 224308.BSU00270 185 0 0 185
224308.BSU00230 224308.BSU25530 0 0 210 210
224308.BSU00230 224308.BSU36750 0 0 335 335
224308.BSU00230 224308.BSU27970 0 0 662 662
224308.BSU00270 224308.BSU06330 185 0 0 185
224308.BSU00270 224308.BSU00220 185 0 0 185
224308.BSU00270 224308.BSU19390 185 0 0 185
224308.BSU00280 224308.BSU17680 0 0 164 163
224308.BSU00280 224308.BSU21820 0 0 164 163
224308.BSU00280 224308.BSU01480 0 0 168 167
224308.BSU00310 224308.BSU18940 0 351 118 403
224308.BSU00310 224308.BSU18090 161 0 174 277
224308.BSU00310 224308.BSU29230 421 900 200 949
224308.BSU00310 224308.BSU13400 63 462 200 561
224308.BSU00310 224308.BSU00020 842 983 219 997
224308.BSU00310 224308.BSU20340 421 900 200 949
224308.BSU00310 224308.BSU18930 0 351 118 403
224308.BSU00310 224308.BSU25560 855 900 849 997
224308.BSU00310 224308.BSU17050 236 0 0 236
224308.BSU00310 224308.BSU29090 176 463 327 676
224308.BSU00310 224308.BSU00190 880 900 703 996
224308.BSU00310 224308.BSU16580 0 900 0 900
224308.BSU00310 224308.BSU22010 0 463 200 552
224308.BSU00310 224308.BSU23870 0 351 118 403
224308.BSU00310 224308.BSU00060 161 0 174 277
